               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.020605,            0.013652,          0.00090425,             0.70218,              0.6389,             0.59612,             0.46559,             0.03385,            0.015208,            0.015597,            0.004753,            0.004753,            0.004753
                  55,            0.020532,            0.014088,          0.00076109,               0.778,             0.58152,             0.61926,             0.46781,            0.033668,            0.015705,             0.01244,            0.004654,            0.004654,            0.004654
                  56,            0.019951,            0.014023,          0.00073782,             0.71892,              0.6004,             0.58937,             0.43708,            0.034874,            0.016389,            0.013471,            0.004555,            0.004555,            0.004555
                  57,            0.020825,            0.014543,          0.00087777,             0.74277,             0.61929,             0.60356,             0.46714,            0.033673,            0.015718,            0.010674,            0.004456,            0.004456,            0.004456
                  58,            0.020022,            0.013874,          0.00083318,             0.77489,             0.57659,             0.60075,             0.47408,            0.033263,            0.016165,            0.011786,            0.004357,            0.004357,            0.004357
                  59,            0.019241,            0.013594,          0.00073537,             0.72926,             0.58453,             0.59421,             0.45732,            0.034005,            0.016634,            0.014868,            0.004258,            0.004258,            0.004258
                  60,            0.018796,            0.013947,          0.00059519,             0.71849,             0.56373,              0.5783,             0.46688,            0.033284,            0.016178,            0.013874,            0.004159,            0.004159,            0.004159
                  61,            0.018823,            0.013688,          0.00066763,             0.77471,             0.56994,             0.59782,             0.47186,            0.033563,            0.016317,            0.012765,             0.00406,             0.00406,             0.00406
                  62,            0.018837,            0.013718,          0.00078458,             0.72483,             0.60341,             0.59714,             0.46623,            0.034082,             0.01586,            0.013686,            0.003961,            0.003961,            0.003961
                  63,            0.018448,            0.013624,          0.00061321,             0.77123,             0.61444,             0.61846,             0.47001,              0.0349,             0.01671,            0.013015,            0.003862,            0.003862,            0.003862
                  64,            0.018462,             0.01349,           0.0006588,             0.81124,             0.59548,             0.62474,             0.47859,            0.034104,            0.016611,            0.011644,            0.003763,            0.003763,            0.003763
                  65,             0.01811,            0.013011,          0.00073169,             0.71447,             0.57659,              0.5915,             0.47177,            0.033987,            0.016157,            0.012355,            0.003664,            0.003664,            0.003664
                  66,            0.017563,            0.012872,          0.00061613,              0.7318,              0.5797,             0.60871,             0.47813,            0.033717,            0.016398,            0.012264,            0.003565,            0.003565,            0.003565
                  67,            0.018278,            0.013204,          0.00049388,             0.68812,              0.5982,             0.60242,             0.46741,            0.033786,            0.016538,            0.012985,            0.003466,            0.003466,            0.003466
                  68,             0.01727,            0.012855,          0.00054403,             0.74965,             0.61867,             0.62123,             0.47703,            0.033778,            0.016559,            0.013762,            0.003367,            0.003367,            0.003367
                  69,            0.017221,            0.012681,          0.00054856,             0.79793,             0.58453,              0.6022,             0.44703,            0.035304,              0.0165,            0.014222,            0.003268,            0.003268,            0.003268
                  70,            0.017335,            0.012948,          0.00055174,             0.76239,              0.6058,             0.61915,             0.47182,            0.033787,            0.016437,            0.013093,            0.003169,            0.003169,            0.003169
                  71,            0.017115,            0.012446,          0.00056022,              0.8045,             0.57167,              0.5994,             0.47932,            0.033325,            0.016795,            0.012172,             0.00307,             0.00307,             0.00307
                  72,             0.01618,            0.012012,          0.00055434,             0.79612,             0.56866,             0.59285,             0.46736,            0.034746,            0.016912,            0.012906,            0.002971,            0.002971,            0.002971
                  73,            0.016529,            0.012387,          0.00050176,             0.76813,             0.56866,             0.57563,             0.47514,            0.033802,            0.016891,            0.012393,            0.002872,            0.002872,            0.002872
                  74,            0.016168,            0.012362,          0.00050813,             0.73781,             0.58113,             0.58705,             0.46709,            0.033245,            0.016964,            0.013354,            0.002773,            0.002773,            0.002773
                  75,            0.016144,            0.011947,          0.00040007,             0.74333,             0.58754,             0.60091,             0.48761,            0.032493,            0.017074,            0.013193,            0.002674,            0.002674,            0.002674
                  76,            0.015864,             0.01221,          0.00054443,             0.69562,             0.58585,             0.56879,             0.47234,            0.033732,            0.017006,            0.013253,            0.002575,            0.002575,            0.002575
                  77,            0.015945,            0.012149,           0.0004414,             0.79739,             0.59247,             0.60514,             0.47813,            0.032714,            0.016564,            0.013043,            0.002476,            0.002476,            0.002476
                  78,            0.015496,            0.011491,          0.00047192,              0.7922,             0.59247,             0.60262,             0.47521,            0.032978,            0.017474,            0.014373,            0.002377,            0.002377,            0.002377
                  79,            0.015377,            0.011957,          0.00046268,             0.81068,             0.57659,              0.5901,              0.4702,            0.033909,            0.017386,            0.013968,            0.002278,            0.002278,            0.002278
                  80,            0.015141,            0.011737,           0.0003587,             0.76643,             0.56072,             0.60299,             0.46824,            0.033349,            0.017339,            0.014246,            0.002179,            0.002179,            0.002179
                  81,            0.014717,            0.011231,          0.00047154,             0.78379,             0.56866,             0.59278,             0.47387,            0.033272,            0.017647,             0.01438,             0.00208,             0.00208,             0.00208
                  82,            0.014682,            0.011464,          0.00046956,             0.75012,             0.56072,              0.5886,             0.48393,            0.032968,             0.01774,            0.013842,            0.001981,            0.001981,            0.001981
                  83,            0.014796,            0.011895,           0.0004982,             0.73996,              0.5874,             0.57391,             0.47125,            0.033941,            0.017856,            0.014279,            0.001882,            0.001882,            0.001882
                  84,            0.014518,            0.011466,          0.00049475,             0.73909,             0.59548,             0.61276,             0.49186,            0.033415,            0.017123,            0.013628,            0.001783,            0.001783,            0.001783
                  85,            0.013617,            0.010983,          0.00031321,              0.7179,             0.59849,             0.59466,             0.48529,            0.032607,            0.016772,            0.014141,            0.001684,            0.001684,            0.001684
                  86,             0.01396,            0.011026,          0.00031061,             0.71661,             0.59548,             0.58334,             0.47531,            0.033902,            0.017275,            0.014339,            0.001585,            0.001585,            0.001585
                  87,            0.013489,            0.010214,           0.0002542,             0.73392,             0.58524,             0.58774,             0.47892,            0.034123,             0.01743,            0.014425,            0.001486,            0.001486,            0.001486
                  88,            0.013487,            0.010559,          0.00033061,             0.75928,             0.55926,             0.58364,             0.47984,            0.033767,            0.017292,            0.014162,            0.001387,            0.001387,            0.001387
                  89,            0.013556,            0.010888,          0.00029924,             0.79585,             0.55953,             0.58971,             0.48803,            0.032514,            0.017273,            0.014993,            0.001288,            0.001288,            0.001288
                  90,            0.013164,            0.010469,            0.000319,             0.74075,             0.59548,             0.59559,             0.48815,            0.032739,            0.017436,            0.014677,            0.001189,            0.001189,            0.001189
                  91,            0.013407,            0.010446,           0.0003198,             0.73705,             0.57659,             0.59845,             0.49427,            0.032463,            0.017432,            0.014261,             0.00109,             0.00109,             0.00109
                  92,            0.012748,            0.010847,          0.00033195,             0.72883,             0.58453,             0.59503,             0.49729,            0.032586,            0.017507,            0.013435,            0.000991,            0.000991,            0.000991
                  93,            0.013115,            0.010829,          0.00039889,             0.71385,              0.5717,             0.58618,             0.48149,            0.032618,            0.017502,            0.013719,            0.000892,            0.000892,            0.000892
                  94,              0.0129,            0.010307,          0.00032199,             0.74339,             0.57514,              0.5778,             0.47908,            0.032767,            0.017673,            0.013828,            0.000793,            0.000793,            0.000793
                  95,            0.012484,            0.010198,          0.00024462,             0.76299,             0.58754,             0.59072,             0.48475,            0.032688,            0.017653,            0.014065,            0.000694,            0.000694,            0.000694
                  96,            0.012723,            0.010437,          0.00031971,             0.77057,              0.5796,             0.59128,             0.48867,            0.032618,            0.017398,            0.014266,            0.000595,            0.000595,            0.000595
                  97,            0.012435,            0.010395,          0.00021573,             0.76834,             0.57935,             0.58799,             0.48659,            0.032976,            0.017497,              0.0143,            0.000496,            0.000496,            0.000496
                  98,            0.011968,           0.0098537,          0.00024284,             0.75434,              0.5796,             0.59521,             0.49105,            0.032903,            0.017293,            0.014477,            0.000397,            0.000397,            0.000397
                  99,            0.011632,            0.010036,            0.000253,             0.75351,             0.59545,             0.59628,              0.4957,            0.032579,            0.017317,            0.014522,            0.000298,            0.000298,            0.000298
